Cargo Atual,Quant.
CCE-14 Diretor de Normas Tecnicas (SMP),1
CCE-14 Diretor de Nutricao (SMECICT),1
CCE-14 Diretor de Obras e Serviços da Educação,1
CCE-14 Diretor de Orçamento de Obras da Educação,1
CCE-14 Diretor de Ordem Juducial da Saúde,1
CCE-14 Diretor de Perícia Médica,1
CCE-14 Diretor de Relações Institucionais da Educação,1
CCE-14 Diretor de Saúde do Trabalho (SMS),1
CCE-14 Diretor de Servicos Publicos,1
CCE-14 Diretor de Tecnologia da Gestão (SMGIT),1
CCE-14 Diretor de Transportes (SMECICT),1
CCE-14 Diretor do Prog.Educ.Conexao Universitaria,1
CCE-14 Diretor Financeiro (SMF),1
CCE-14 Diretor Financeiro da Educação,1
CCE-14 Diretor Financeiro da Saúde,1
CCE-14 Diretor Geral de Atividades Culturais (SMECICT),1
CCE-14 Diretor Geral de Compras (SMGIT),1
CCE-14 Diretor Geral de Contabilidade (SMF),1
CCE-14 Diretor Geral de Contratos Administrativos (SMGIT),1
CCE-14 Diretor Geral de Defesa Civil (SMSOP),1
CCE-14 Diretor Geral de Fiscalização (SMS),1
CCE-14 Diretor Geral de Fiscalização (SMU),1
CCE-14 Diretor Geral de Infraestrutura (SMI),1
CCE-14 Diretor Geral de Integração de Reg Fiscais (SMF),1
CCE-14 Diretor Geral de Licitações (SMGIT),1
CCE-14 Diretor Geral de Patrimonio (SMART),1
CCE-14 Diretor Geral de Urbanismo (SMU),1
CCE-14 Diretor Tecnico Esp. da Educaçao,1
CCE-14 Diretor Tecnico Operacional da Educacao,1
CCE-14 Diretor-Geral de Auditoria (CGM),1
CCE-14 Diretor-Geral de Departamento Pessoal (SMART),1
CCE-14 Diretor-Geral de Direitos dos Animais (SMDA),1
CCE-14 Diretor-Geral De Fundos de Assistencia Social,1
CCE-14 Diretor-Geral de Gov. e Consorcios da Saude (SMS),1
CCE-14 Diretor-Geral de Tributos (SMART),1
CCE-14 Diretos de Estradas Vicinais,1
CCE-15 Subsecretario Adm e Financeiro da Educacao,1
CCE-15 Subsecretario Administrativo e de Orcamento (SMP),1
CCE-15 Subsecretario Ciencias, Tec e Inovacao da Educacao,1
CCE-15 Subsecretário de Assuntos Religiosos (SMDS),1
CCE-15 Subsecretario de Comunicação Social (SMCS),1
CCE-15 Subsecretario de Controle Interno (CGM),1
CCE-15 Subsecretario de Coord. de Politicas Pub. de Educacao,1
CCE-15 Subsecretario de Cultura,1
CCE-15 Subsecretário de Desenvolvimento Social,1
CCE-15 Subsecretario de Esporte, Lazer e Turismo (SMELT),1
CCE-15 Subsecretario de Fin. e Fundo da Saude (SMS),1
CCE-15 Subsecretario de Fisc. e Avaliacao da Saude (SMS),1
CCE-15 Subsecretario de Governanca (SMGS),1
CCE-15 Subsecretario de Habitação (SMU),1
CCE-15 Subsecretario de Inclusao Educacional,1
CCE-15 Subsecretario de Infraestutura da Educaçao,1
CCE-15 Subsecretario de Planejamento de Pol. Pub.de Educaçao,1
CCE-15 Subsecretario de Planejamento Integrado (SMP),1
CCE-15 Subsecretario de Relacao com Orgaos Estaduais (SMRI),1
CCE-15 Subsecretario de Relacao com Orgaos Federais (SMRI),1
CCE-15 Subsecretário de Saúde,1
CCE-15 Subsecretario de Seguranca e Ordem Publica (SMSOP),1
CCE-15 Subsecretario de Sustentabilidade (SMGS),1
CCE-15 Subsecretario de Trabalho e Renda (SMDS),1
CCE-15 Subsecretario de Transparencia e Integridade (SMTI),1
CCE-15 Subsecretário de Urbanismo (SMU),1
CCE-2 Administrador Adjunto de Bairro (SMTSP),28
CCE-2 Assessor de Cadastramento,3
CCE-2 Assistente II,3
CCE-2 Auxiliar de Gabinete,11
CCE-2 Chefe de Setor,11
CCE-3 Administrador Distrital,3
CCE-3 Agente,15
CCE-3 Assistente I,2
CCE-3 Chefe de Divisao,22
CCE-4 Agente de Apoio Técnico(Prog.Acomp.Ativ.Sociais),25
CCE-4 Assessor Adjunto de Atenção Social (SMDes.Social),16
CCE-4 Assistente / Chefe Departamento,51
CCE-4 Assistente de Almoxarifado (SMGIT),1
CCE-4 Assistente de Lançamento de Dívida Ativa (SMART),1
CCE-4 Assistente de Licitação (SMGIT),2
CCE-4 Assistente de Procedimento Administrativo (SMGIT),2
CCE-4 Assistente de Rede Simples (SMART),1
CCE-4 Assistente de Regularidade Fiscal(Controladoria),1
CCE-4 Assistente de Sistema de Compras (SMGIT),1
CCE-4 Assistente para Lançamento do SIGFIS (SMF),2
CCE-4 Chefe de Departamento,3
CCE-4 Coordenador de Eventos,3
CCE-4 Coordenador de Oficina (Sec.Desenvolvimento Social),23
CCE-5 Assistente de Apoio Técnico(Prog.Aten Animais/Saúde),4
CCE-5 Assistente de Gabinete,5
CCE-5 Coordenador,8
CCE-5 Coordenador de Vig. Sanitaria,1
CCE-5 Coordenador Promocao da Saude,1
CCE-5 Coordenador Reg. Cont. e Avaliac,1
CCE-6 Assessor de Planejamento Orçamentário (SMP),3
CCE-6 Assessor de Registro e Escrituração (SMART),1
CCE-6 Assistente de Apoio Tecnico(Prog.Educ.p Trabalho),9
CCE-6 Assistente de Procedimentos Administrativos (SMDS),15
CCE-6 Assistente Educacional,40
CCE-6 Coordenador (Prog.Mais Esp.e Mais Cult) LC 50/2017,27
CCE-6 Coordenador de Apoio Tecnico,4
CCE-6 Coordenador de Programa(Prog.Acomp.Ativ. Sociais),8
CCE-6 Coordenador do Programa Casa Creche Cat B,18
CCE-6 Diretor Adjunto/Analista,6
CCE-6 Diretor de Cadastro Econômico,1
CCE-7 Assessor Adjunto de Gabinete (SMMA),1
CCE-7 Assessor de Procedimentos Administrativos (SMART),1
CCE-7 Assessor Educacional,37
CCE-7 Assistente de Controle e Fiscalização da Saúde,12
CCE-7 Assistente de Procedimento Administrativo,21
CCE-7 Coordenador Adjunto de Programa de Assistência Social,13
CCE-7 Coordenador de Finanças e Tesouraria (SMF),2
CCE-7 Coordenador de Nucleo (Prog.Mais Esp.e Mais Cult),6
CCE-7 Coordenador de Programa (Prog.Educ.para o Trabalho),4
CCE-7 Coordenador do Programama Casa Creche Cat A,21
CCE-7 Diretor,17
CCE-7 Diretor de Apoio Educacional,2
CCE-7 Diretor de Vig. e Saude,1
CCE-7 Diretor-Chefe do Salvamar (SMSOP),1
CCE-7 Membro Efetivo da JARI,5
CCE-8 Administrador de Bairro (SMTSP),32
CCE-8 Assessor,16
CCE-8 Assessor  Núcleo Atend. Pessoas Nec. Especiais (SMS),1
CCE-8 Assessor Adjunto de Gabinete (SMGab),4
CCE-8 Assessor Adjunto de Licitaçao (SMGIT),1
CCE-8 Assessor Administrativo (Sec. Mun. de Obras e Infra,1
CCE-8 Assessor Administrativo (SMELTur),1
CCE-8 Assessor Adminitrativo (Sec.Mun.de Urbanismo),1
CCE-8 Assessor de Apoio a Fisc de Areas Publicas (SMSOP),10
CCE-8 Assessor de Apoio a Fisc de Posturas Munic (SMSOP),10
CCE-8 Assessor de Apoio de Eventos (SMELTur),3
CCE-8 Assessor de Apoio Educacional,10
CCE-8 Assessor de Atendimento ao Turista (SMELTur),2
CCE-8 Assessor de Contratos Administrativos (SMGIT),3
CCE-8 Assessor de Gabinete,3
CCE-8 Assessor de Gabinete (SMI),1
CCE-8 Assessor de Informática (SMEC),1
CCE-8 Assessor de Procedimentos Administrativos (PGM),3
CCE-8 Assessor de Procedimentos Administrativos (Saúde),7
CCE-8 Assessor de Procedimentos Administrativos (SMAAP),1
CCE-8 Assessor de Procedimentos Administrativos (SMDE),4
CCE-8 Assessor de Procedimentos Administrativos (SMDS),10
CCE-8 Assessor de Procedimentos Administrativos (SMELT),3
CCE-8 Assessor de Procedimentos Administrativos (SMG),5
CCE-8 Assessor de Procedimentos Administrativos (SMGS),1
CCE-8 Assessor de Procedimentos Administrativos (SMI),1
CCE-8 Assessor de Procedimentos Administrativos (SMMA),3
CCE-8 Assessor de Procedimentos Administrativos (SMRI),2
CCE-8 Assessor de Procedimentos Administrativos (SMSOP),1
CCE-8 Assessor de Procedimentos Administrativos (SMTI),1
CCE-8 Assessor de Procedimentos Administrativos (SMTSP),2
CCE-8 Assessor de Procedimentos Administrativos (SMU),3
CCE-8 Assessor de Procedimentos Administrativos(SMD.Animais),3
CCE-8 Assessor de Processos Administrativos (SMCult),2
CCE-8 Assessor de Programas  (SMEC),3
CCE-8 Assessor de Programas de Assistencia a Mulher (SMM),5
CCE-8 Assessor de Projetos de Obras Publicas (SMOU),1
CCE-8 Assessor de Projetos Educacionais  (SMEC),2
CCE-8 Assessor de Recursos Humanos  (SMEC),1
CCE-8 Assessor de Rede Simples (SMF),1
CCE-8 Assessor do Centro Esp. de Reabilitação (Saúde),1
CCE-8 Assessor do Departamento Financeiro  (SMEC),4
CCE-8 Assessor Tec. de Obras (Sec.Mun. de Obras e Infra),1
CCE-8 Assessor Tecnico Administrativo(SMART),1
CCE-8 Assessor Tecnico de Controle Interno(Controladoria),1
CCE-8 Coordenador Adj. de Cont. de Gestão em Saúde (SMS),4
CCE-8 Coordenador Adjunto de Receita Orçamentária (SMP),1
CCE-8 Coordenador Articulador Educacional,9
CCE-8 Coordenador de Apoio Social do C.Atend.Idoso (SMDS),1
CCE-8 Coordenador de Controle Administrativo (CGM),3
CCE-8 Coordenador de Controle Patrimonial (SMART),6
CCE-8 Coordenador de Procedimentos Administrativos (SMART),9
CCE-8 Coordenador de Programa de Assistência Social,5
CCE-8 Coordenador de Programa(Prog.Atenção Animais/Saude),3
CCE-8 Coordenador do Projeto Casa Amiga do Pet (Saúde),3
CCE-8 Coordenador Geral (Prog.Acomp. Ativ. Sociais),1
CCE-8 Coordenador Geral (Prog.Educação para o Trabalho),1
